id,name,review_count,categories,rating,coordinates,location,distance,price
J_f81xM6eblL1h_Cpn3d2A,Restaurant Red Apple,1,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"{'latitude': 60.1804059, 'longitude': 24.9248011}","{'address1': 'Töölönkatu 27', 'address2': 'Tölögatan 27', 'address3': '', 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Töölönkatu 27', 'Tölögatan 27', '00260 Helsinki', 'Finland']}",1843.0366235257936,
Dyx3x5dQy4qBVs2oVQdsKQ,Dennis,7,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'latitude': 60.1804529046444, 'longitude': 24.9246311187744}","{'address1': 'Töölönkatu 27', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Töölönkatu 27', '00260 Helsinki', 'Finland']}",1845.8038623871992,€€
CoCQYwEj9V6lFntaHVXQ4A,Zuhat,7,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 60.1835, 'longitude': 24.91901}","{'address1': 'Eino Leinon katu 12', 'address2': 'Eino Leinos gata 12', 'address3': None, 'city': 'Helsinki', 'zip_code': '00250', 'country': 'FI', 'state': '18', 'display_address': ['Eino Leinon katu 12', 'Eino Leinos gata 12', '00250 Helsinki', 'Finland']}",1860.7350874702738,€€
K7qOd61DG6jld_9yWqyWQA,Famu & Bar,2,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}]",3.5,"{'latitude': 60.1788914983573, 'longitude': 24.9278804394201}","{'address1': 'Mannerheimintie 46', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Mannerheimintie 46', '00260 Helsinki', 'Finland']}",1862.063760281631,
CZTauQzyOLUilur7CPpESw,Messenius,2,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",3.0,"{'latitude': 60.18834, 'longitude': 24.9146}","{'address1': 'Messeniuksenkatu 7', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00250', 'country': 'FI', 'state': '18', 'display_address': ['Messeniuksenkatu 7', '00250 Helsinki', 'Finland']}",1883.3665077221012,
fNQM426PYHa2OCGFqXtRkQ,Kotipizza,2,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'latitude': 60.1845207, 'longitude': 24.9177895}","{'address1': 'Topeliuksenkatu 21', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00250', 'country': 'FI', 'state': '18', 'display_address': ['Topeliuksenkatu 21', '00250 Helsinki', 'Finland']}",1889.1113156732854,€€
X4HQUT1RKj5icwD5dmy8qQ,Cactus,3,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 60.2093331, 'longitude': 24.9461591}","{'address1': 'Mäkelänkatu 91', 'address2': 'Backasgatan 91', 'address3': '', 'city': 'Helsinki', 'zip_code': '00610', 'country': 'FI', 'state': '18', 'display_address': ['Mäkelänkatu 91', 'Backasgatan 91', '00610 Helsinki', 'Finland']}",1889.5809659737074,€€
CqIEBsFWgSgnr1PVjCMIeQ,Manteli / Annin Juhlapalvelu,2,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",2.5,"{'latitude': 60.1907788, 'longitude': 24.9137808}","{'address1': 'Mannerheimintie 113', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00250', 'country': 'FI', 'state': '18', 'display_address': ['Mannerheimintie 113', '00250 Helsinki', 'Finland']}",1893.6536995161844,
vx8Q7-iIl4VNbngkxbEEtg,Picnic,5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.5,"{'latitude': 60.1840591, 'longitude': 24.9174194}","{'address1': 'Topeliuksenkatu 8', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00250', 'country': 'FI', 'state': '18', 'display_address': ['Topeliuksenkatu 8', '00250 Helsinki', 'Finland']}",1914.5382878753412,€
WqWhELloUZmUa7RBGghWzg,Tokyo 55 Izakaya,3,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",3.5,"{'latitude': 60.1796, 'longitude': 24.92421}","{'address1': 'Runeberginkatu 55B', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Runeberginkatu 55B', '00260 Helsinki', 'Finland']}",1935.709780245219,€€€
YRHyQqV10e-S64wPugMKfA,Unicafe Olivia,4,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",4.0,"{'latitude': 60.1750793, 'longitude': 24.9521999}","{'address1': 'Siltavuorenpenger 20R', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Siltavuorenpenger 20R', '00170 Helsinki', 'Finland']}",1936.2539628204631,
ViL4mSi4NL8agw71QRYiog,Ravintola Mama's & Papa's,1,"[{'alias': 'restaurants', 'title': 'Restaurants'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 60.1795998, 'longitude': 24.9242096}","{'address1': 'Runeberginkatu 55 B', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Runeberginkatu 55 B', '00260 Helsinki', 'Finland']}",1936.522933968097,
10gf4yx1x4qf03SFBP2Cvw,Satkar,1,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",3.0,"{'latitude': 60.1754975065463, 'longitude': 24.9382562925883}","{'address1': 'Alvar Aallon katu 3 A', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00100', 'country': 'FI', 'state': '18', 'display_address': ['Alvar Aallon katu 3 A', '00100 Helsinki', 'Finland']}",1949.382462315172,€€
7LD4ectTJ2xOmvJ8jaq_NA,Picnic,1,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'delis', 'title': 'Delis'}]",5.0,"{'latitude': 60.1797326544536, 'longitude': 24.9233973026276}","{'address1': 'Runeberginkatu 46', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Runeberginkatu 46', '00260 Helsinki', 'Finland']}",1950.8007050597296,€
n99jgpwLaUSJAZFK1p8NvQ,Tokyo 55,15,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",3.5,"{'latitude': 60.179451, 'longitude': 24.9239025}","{'address1': 'Runeberginkatu 55', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Runeberginkatu 55', '00260 Helsinki', 'Finland']}",1951.9055091343973,€€€
-U6JoyiAMY14zQIwxdpGcw,Cafe Tiina,1,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",3.0,"{'latitude': 60.1791293360297, 'longitude': 24.9245814947517}","{'address1': 'Töölöntori', 'address2': 'Tölötorg', 'address3': '', 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Töölöntori', 'Tölötorg', '00260 Helsinki', 'Finland']}",1955.9011895322983,
zMCdzE7GyakQJru5dGb1qQ,Hong Ye,4,"[{'alias': 'chinese', 'title': 'Chinese'}]",2.0,"{'latitude': 60.1852994, 'longitude': 24.9154735}","{'address1': 'Linnankoskenkatu 11 B', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00250', 'country': 'FI', 'state': '18', 'display_address': ['Linnankoskenkatu 11 B', '00250 Helsinki', 'Finland']}",1956.54425488578,€
lIzC-ej5yH78Yso4-A4o_A,Mamma Rosa,25,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 60.1793688410191, 'longitude': 24.9237973474549}","{'address1': 'Runeberginkatu 55', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Runeberginkatu 55', '00260 Helsinki', 'Finland']}",1965.0670281757357,€€€
kwFWA6PgOndvZWgR5GMYlQ,Tin Tin Tango,29,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,"{'latitude': 60.1785088, 'longitude': 24.9253006}","{'address1': 'Töölöntorinkatu 7', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Töölöntorinkatu 7', '00260 Helsinki', 'Finland']}",1984.6424340049807,€€
S6B97JnhVruC6KTn4zMMjg,Lime Tree,5,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",3.5,"{'latitude': 60.1786862, 'longitude': 24.9244374}","{'address1': 'Sandelsinkatu 2', 'address2': 'Sandelsgatan 2', 'address3': '', 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Sandelsinkatu 2', 'Sandelsgatan 2', '00260 Helsinki', 'Finland']}",1998.3981017930532,€€
cAr9rvzVzQ1YMnArbLG7qQ,Töölön torigrilli,4,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'kiosk', 'title': 'Kiosk'}]",3.5,"{'latitude': 60.1789953273992, 'longitude': 24.923704290411}","{'address1': '', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['00260 Helsinki', 'Finland']}",1999.2427990138322,
tynZzM-1vmCvlgTH5riIOQ,Burger King,1,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.0,"{'latitude': 60.19072, 'longitude': 24.91162}","{'address1': 'Tukholmankatu 2', 'address2': 'Stockholmsgatan 2', 'address3': '', 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Tukholmankatu 2', 'Stockholmsgatan 2', '00170 Helsinki', 'Finland']}",2008.0172939034535,€
L3OIHb4eJdAxxwCR5muIVg,Pompei,8,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 60.1743813, 'longitude': 24.9527702}","{'address1': 'Snellmaninkatu 16', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Snellmaninkatu 16', '00170 Helsinki', 'Finland']}",2012.920620676965,€€
edEgWlObMEvZ0oXdQQWz7w,Ravintola Lehtovaara,7,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}]",3.5,"{'latitude': 60.1836, 'longitude': 24.91593}","{'address1': 'Mechelininkatu 39', 'address2': None, 'address3': None, 'city': 'HELSINKI', 'zip_code': '00250', 'country': 'FI', 'state': '18', 'display_address': ['Mechelininkatu 39', '00250 HELSINKI', 'Finland']}",2016.6784066715365,€€€€
xPFAhfwDwIB7qpyC57sIHQ,Zen Sushi - sushi & sake,5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 60.1743469, 'longitude': 24.9528839}","{'address1': 'Snellmaninkatu 16 A', 'address2': '', 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Snellmaninkatu 16 A', '00170 Helsinki', 'Finland']}",2022.0587027866873,€€
GSHNcQUcbu3Y5heEHB5foA,Käpygrilli,7,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'pubs', 'title': 'Pubs'}]",3.5,"{'latitude': 60.21073, 'longitude': 24.9502}","{'address1': 'Osmontie 5', 'address2': 'Osmovägen 5', 'address3': None, 'city': 'Helsinki', 'zip_code': '00610', 'country': 'FI', 'state': '18', 'display_address': ['Osmontie 5', 'Osmovägen 5', '00610 Helsinki', 'Finland']}",2029.2604458327064,€€
wHJkw-slKGXeWXQz8vVnng,Ravintola Jing Cheng,3,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 60.17695, 'longitude': 24.92771}","{'address1': 'Eteläinen Hesperiankatu 6 A', 'address2': 'Södra Hesperiagatan 6 A', 'address3': None, 'city': 'Helsinki', 'zip_code': '00100', 'country': 'FI', 'state': '18', 'display_address': ['Eteläinen Hesperiankatu 6 A', 'Södra Hesperiagatan 6 A', '00100 Helsinki', 'Finland']}",2033.7660310836002,€€
_nXTwUenhlp8lqMq1QSqKg,Espresso Edge,7,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"{'latitude': 60.174124833119, 'longitude': 24.9509382247925}","{'address1': 'Liisankatu 29', 'address2': 'Elisabetsgatan 29', 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Liisankatu 29', 'Elisabetsgatan 29', '00170 Helsinki', 'Finland']}",2034.8069501886173,€
eDzPNiftMUP6_MF0k8a22w,Käpylän Yhdyskuntaklubi,1,"[{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}]",4.0,"{'latitude': 60.210653554506, 'longitude': 24.945648527125}","{'address1': 'Väinölänkatu 2', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00610', 'country': 'FI', 'state': '18', 'display_address': ['Väinölänkatu 2', '00610 Helsinki', 'Finland']}",2037.754729224534,
ZmEdnZ43BRhcZvlccbSQnQ,Leipomo Keisari,1,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.0,"{'latitude': 60.1740691, 'longitude': 24.9535609}","{'address1': 'Liisankatu 18', 'address2': 'Elisabetsgatan 18', 'address3': '', 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Liisankatu 18', 'Elisabetsgatan 18', '00170 Helsinki', 'Finland']}",2058.031837822812,€
JJetnwiOdsiFaittrLTmbw,Parmesan,4,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'latitude': 60.2086245349624, 'longitude': 24.9657321750898}","{'address1': 'Väinö Auerin katu 1-3', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00560', 'country': 'FI', 'state': '18', 'display_address': ['Väinö Auerin katu 1-3', '00560 Helsinki', 'Finland']}",2059.6533371158866,€
