categories,distance,geocodes,name
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 11038, 'name': 'Event Service', 'short_name': 'Event Services', 'plural_name': 'Event Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/event/default_', 'suffix': '.png'}}]",219,"{'main': {'latitude': 60.157252, 'longitude': 24.948687}, 'roof': {'latitude': 60.157252, 'longitude': 24.948687}}",Renne Korppila
"[{'id': 16037, 'name': 'Playground', 'short_name': 'Playground', 'plural_name': 'Playgrounds', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/playground_', 'suffix': '.png'}}]",227,"{'main': {'latitude': 60.154127, 'longitude': 24.956662}}",Leikkipaikka Kaivopuisto
"[{'id': 16053, 'name': 'Waterfront', 'short_name': 'Waterfront', 'plural_name': 'Waterfronts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/river_', 'suffix': '.png'}}]",237,"{'main': {'latitude': 60.154581, 'longitude': 24.946294}}",Merisatamanranta
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}]",243,"{'main': {'latitude': 60.154269, 'longitude': 24.946335}}",Hss Harbor Dock
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",270,"{'drop_off': {'latitude': 60.157637, 'longitude': 24.950183}, 'main': {'latitude': 60.157816, 'longitude': 24.950145}, 'roof': {'latitude': 60.157816, 'longitude': 24.950145}}",Uniq Entertainment Agency
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",272,"{'main': {'latitude': 60.15701, 'longitude': 24.946499}, 'roof': {'latitude': 60.15701, 'longitude': 24.946499}}",Inspirational Events Oy
"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",283,"{'main': {'latitude': 60.157322, 'longitude': 24.946457}, 'roof': {'latitude': 60.157322, 'longitude': 24.946457}}",Ravintola Central
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 11001, 'name': 'Advertising Agency', 'short_name': 'Advertising Agency', 'plural_name': 'Advertising Agencies', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",286,"{'main': {'latitude': 60.156202, 'longitude': 24.945338}, 'roof': {'latitude': 60.156202, 'longitude': 24.945338}}",Vesterinen Pekka Antero
"[{'id': 16000, 'name': 'Landmarks and Outdoors', 'short_name': 'Landmarks and Outdoors', 'plural_name': 'Landmarks and Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]",287,"{'main': {'latitude': 60.155748, 'longitude': 24.955706}}",Ullanlinnanmäki
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}, {'id': 19005, 'name': 'Cruise', 'short_name': 'Cruise', 'plural_name': 'Cruises', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/boat_', 'suffix': '.png'}}, {'id': 19051, 'name': 'Transportation Service', 'short_name': 'Transportation Services', 'plural_name': 'Transportation Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/taxi_', 'suffix': '.png'}}]",296,"{'main': {'latitude': 60.15742, 'longitude': 24.953898}}",Linda Line OY
"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13288, 'name': 'Kebab Restaurant', 'short_name': 'Kebab', 'plural_name': 'Kebab Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",299,"{'main': {'latitude': 60.15701, 'longitude': 24.946499}, 'roof': {'latitude': 60.15701, 'longitude': 24.946499}}",Pizzeria Sopranos
"[{'id': 16032, 'name': 'Park', 'short_name': 'Park', 'plural_name': 'Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",306,"{'main': {'latitude': 60.15565, 'longitude': 24.955825}}",Kaivopuisto
"[{'id': 13148, 'name': 'French Restaurant', 'short_name': 'French', 'plural_name': 'French Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",307,"{'drop_off': {'latitude': 60.158194, 'longitude': 24.94923}, 'main': {'latitude': 60.158056, 'longitude': 24.94895}, 'roof': {'latitude': 60.158056, 'longitude': 24.94895}}",Ravintola Jura
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",311,"{'main': {'latitude': 60.158236, 'longitude': 24.94976}}",Galleria Saima Helsinki
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}]",317,"{'main': {'latitude': 60.152986, 'longitude': 24.94736}}",Helsingfors Segelsällskap
"[{'id': 10004, 'name': 'Art Gallery', 'short_name': 'Art Gallery', 'plural_name': 'Art Galleries', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/artgallery_', 'suffix': '.png'}}]",318,"{'main': {'latitude': 60.157641, 'longitude': 24.946521}, 'roof': {'latitude': 60.157641, 'longitude': 24.946521}}",Gallery Kadieff
"[{'id': 13276, 'name': 'Sushi Restaurant', 'short_name': 'Sushi', 'plural_name': 'Sushi Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",321,"{'main': {'latitude': 60.157263, 'longitude': 24.945514}, 'roof': {'latitude': 60.157263, 'longitude': 24.945514}}",Sushi'n'Roll
"[{'id': 16000, 'name': 'Landmarks and Outdoors', 'short_name': 'Landmarks and Outdoors', 'plural_name': 'Landmarks and Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]",322,"{'main': {'latitude': 60.153833, 'longitude': 24.955326}}",Kaivopuiston ranta
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 11038, 'name': 'Event Service', 'short_name': 'Event Services', 'plural_name': 'Event Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/event/default_', 'suffix': '.png'}}]",327,"{'main': {'latitude': 60.158385, 'longitude': 24.950016}, 'roof': {'latitude': 60.158385, 'longitude': 24.950016}}",Vallinheimo Miikka Tmi
