categories,distance,geocodes,name
"[{'id': 13010, 'name': 'Dive Bar', 'short_name': 'Dive Bar', 'plural_name': 'Dive Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/divebar_', 'suffix': '.png'}}, {'id': 13025, 'name': 'Wine Bar', 'short_name': 'Wine Bar', 'plural_name': 'Wine Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",221,"{'drop_off': {'latitude': 60.164014, 'longitude': 24.929497}, 'main': {'latitude': 60.164197, 'longitude': 24.929628}, 'roof': {'latitude': 60.164197, 'longitude': 24.929628}}",Apéro
"[{'id': 16032, 'name': 'Park', 'short_name': 'Park', 'plural_name': 'Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",229,"{'main': {'latitude': 60.162734, 'longitude': 24.933101}, 'roof': {'latitude': 60.162734, 'longitude': 24.933101}}",Sinebrychoffin puisto
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",240,"{'main': {'latitude': 60.160076, 'longitude': 24.92915}}",Restaurant Boat Wäiski
"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",245,"{'drop_off': {'latitude': 60.16434, 'longitude': 24.929471}, 'main': {'latitude': 60.164496, 'longitude': 24.929377}, 'roof': {'latitude': 60.164496, 'longitude': 24.929377}}",Cafferino Oba
"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",251,"{'main': {'latitude': 60.160658, 'longitude': 24.926966}}",Bar & Pizza Boat Walrus
"[{'id': 13336, 'name': 'Scandinavian Restaurant', 'short_name': 'Scandinavian', 'plural_name': 'Scandinavian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/scandinavian_', 'suffix': '.png'}}]",252,"{'main': {'latitude': 60.163915, 'longitude': 24.926811}, 'roof': {'latitude': 60.163915, 'longitude': 24.926811}}",Konstan Möljä
"[{'id': 10039, 'name': 'Music Venue', 'short_name': 'Music Venue', 'plural_name': 'Music Venues', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 10042, 'name': 'Opera House', 'short_name': 'Opera House', 'plural_name': 'Opera Houses', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_operahouse_', 'suffix': '.png'}}, {'id': 10043, 'name': 'Theater', 'short_name': 'Theater', 'plural_name': 'Theaters', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_', 'suffix': '.png'}}]",258,"{'main': {'latitude': 60.163461, 'longitude': 24.933797}, 'roof': {'latitude': 60.163461, 'longitude': 24.933797}}",Aleksanterin teatteri
"[{'id': 16037, 'name': 'Playground', 'short_name': 'Playground', 'plural_name': 'Playgrounds', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/playground_', 'suffix': '.png'}}]",259,"{'drop_off': {'latitude': 60.163769, 'longitude': 24.92555}, 'main': {'latitude': 60.163475, 'longitude': 24.925654}, 'roof': {'latitude': 60.163475, 'longitude': 24.925654}}",LP Köydenpunojanpuisto
"[{'id': 13236, 'name': 'Italian Restaurant', 'short_name': 'Italian', 'plural_name': 'Italian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",267,"{'main': {'latitude': 60.164339, 'longitude': 24.927529}}",Goose Pastabar
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",280,"{'main': {'latitude': 60.160764, 'longitude': 24.92681}, 'roof': {'latitude': 60.160764, 'longitude': 24.92681}}",Ravintola Båt
"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",286,"{'main': {'latitude': 60.16461, 'longitude': 24.927623}}",The Good Coffee Company
"[{'id': 13352, 'name': 'Thai Restaurant', 'short_name': 'Thai', 'plural_name': 'Thai Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/thai_', 'suffix': '.png'}}]",288,"{'drop_off': {'latitude': 60.164309, 'longitude': 24.932613}, 'main': {'latitude': 60.164485, 'longitude': 24.93255}, 'roof': {'latitude': 60.164485, 'longitude': 24.93255}}",The Red Koi Thai
"[{'id': 16032, 'name': 'Park', 'short_name': 'Park', 'plural_name': 'Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",290,"{'drop_off': {'latitude': 60.1636, 'longitude': 24.925074}, 'main': {'latitude': 60.163442, 'longitude': 24.92513}}",Köydenpunojanpuistikko
"[{'id': 13027, 'name': 'Bistro', 'short_name': 'Bistro', 'plural_name': 'Bistros', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",301,"{'main': {'latitude': 60.162035, 'longitude': 24.924473}, 'roof': {'latitude': 60.162035, 'longitude': 24.924473}}",Bistro Gimis
"[{'id': 13039, 'name': 'Deli', 'short_name': 'Deli', 'plural_name': 'Delis', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}, {'id': 17069, 'name': 'Grocery Store', 'short_name': 'Grocery Store', 'plural_name': 'Grocery Stores', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",318,"{'drop_off': {'latitude': 60.164625, 'longitude': 24.933508}, 'main': {'latitude': 60.164496, 'longitude': 24.933553}, 'roof': {'latitude': 60.164496, 'longitude': 24.933553}}",K-Market Lönkan Herkku
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}]",321,"{'main': {'latitude': 60.160996, 'longitude': 24.92444}}",Vartiovene 55
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",322,"{'main': {'latitude': 60.163679, 'longitude': 24.924728}, 'roof': {'latitude': 60.163679, 'longitude': 24.924728}}",Ravintola Kannas
"[{'id': 13194, 'name': 'Himalayan Restaurant', 'short_name': 'Himalayan', 'plural_name': 'Himalayan Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",322,"{'main': {'latitude': 60.164727, 'longitude': 24.933047}, 'roof': {'latitude': 60.164727, 'longitude': 24.933047}}",Ravintola Kantipur
"[{'id': 13263, 'name': 'Japanese Restaurant', 'short_name': 'Japanese', 'plural_name': 'Japanese Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}}]",324,"{'main': {'latitude': 60.164941, 'longitude': 24.932116}}",Shinobi
"[{'id': 13303, 'name': 'Mexican Restaurant', 'short_name': 'Mexican', 'plural_name': 'Mexican Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}}]",331,"{'drop_off': {'latitude': 60.165124, 'longitude': 24.92938}, 'main': {'latitude': 60.165281, 'longitude': 24.929325}, 'roof': {'latitude': 60.165281, 'longitude': 24.929325}}",Pueblo Bar y Taqueria
"[{'id': 13379, 'name': 'Vietnamese Restaurant', 'short_name': 'Vietnamese', 'plural_name': 'Vietnamese Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}}]",333,"{'main': {'latitude': 60.163517, 'longitude': 24.935534}, 'roof': {'latitude': 60.163517, 'longitude': 24.935534}}",Lie Mi Bulevardi
"[{'id': 16032, 'name': 'Park', 'short_name': 'Park', 'plural_name': 'Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",349,"{'main': {'latitude': 60.159521, 'longitude': 24.932949}}",Telakanpuistikko
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",353,"{'main': {'latitude': 60.164775, 'longitude': 24.932987}, 'roof': {'latitude': 60.164775, 'longitude': 24.932987}}",Ravintola Pompier
"[{'id': 16037, 'name': 'Playground', 'short_name': 'Playground', 'plural_name': 'Playgrounds', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/playground_', 'suffix': '.png'}}]",358,"{'main': {'latitude': 60.159692, 'longitude': 24.933735}}",Leikkipaikka
"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13049, 'name': 'Diner', 'short_name': 'Diner', 'plural_name': 'Diners', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}, {'id': 13177, 'name': 'Greek Restaurant', 'short_name': 'Greek', 'plural_name': 'Greek Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/greek_', 'suffix': '.png'}}]",368,"{'drop_off': {'latitude': 60.165361, 'longitude': 24.932359}, 'main': {'latitude': 60.165215, 'longitude': 24.932453}, 'roof': {'latitude': 60.165215, 'longitude': 24.932453}}",Gran Delicato
"[{'id': 13030, 'name': 'Buffet', 'short_name': 'Buffet', 'plural_name': 'Buffets', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13356, 'name': 'Turkish Restaurant', 'short_name': 'Turkish', 'plural_name': 'Turkish Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/turkish_', 'suffix': '.png'}}]",369,"{'drop_off': {'latitude': 60.165159, 'longitude': 24.926303}, 'main': {'latitude': 60.165041, 'longitude': 24.926343}, 'roof': {'latitude': 60.165041, 'longitude': 24.926343}}",Halikarnas
"[{'id': 13013, 'name': 'Hotel Bar', 'short_name': 'Hotel Bar', 'plural_name': 'Hotel Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",381,"{'main': {'latitude': 60.163641, 'longitude': 24.935835}, 'roof': {'latitude': 60.163641, 'longitude': 24.935835}}",Kultá Kitchen & Bar
"[{'id': 10003, 'name': 'Arcade', 'short_name': 'Arcade', 'plural_name': 'Arcades', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/arcade_', 'suffix': '.png'}}]",388,"{'main': {'latitude': 60.1654, 'longitude': 24.932846}}",Arkade Bar
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",400,"{'main': {'latitude': 60.164576, 'longitude': 24.923999}}",Halo
"[{'id': 13031, 'name': 'Burger Joint', 'short_name': 'Burgers', 'plural_name': 'Burger Joints', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}]",404,"{'main': {'latitude': 60.162881, 'longitude': 24.922487}}",Konttiravintola Morton
"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'short_name': 'Italian', 'plural_name': 'Italian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",412,"{'main': {'latitude': 60.164887, 'longitude': 24.93477}, 'roof': {'latitude': 60.164887, 'longitude': 24.93477}}",Bacco
"[{'id': 13006, 'name': 'Beer Bar', 'short_name': 'Beer Bar', 'plural_name': 'Beer Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",416,"{'main': {'latitude': 60.165738, 'longitude': 24.93159}, 'roof': {'latitude': 60.165738, 'longitude': 24.93159}}",Bar Mendocino
"[{'id': 16053, 'name': 'Waterfront', 'short_name': 'Waterfront', 'plural_name': 'Waterfronts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/river_', 'suffix': '.png'}}]",426,"{'main': {'latitude': 60.161499, 'longitude': 24.92214}}",Sillilaituri
"[{'id': 13309, 'name': 'Middle Eastern Restaurant', 'short_name': 'Middle Eastern', 'plural_name': 'Middle Eastern Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",432,"{'main': {'latitude': 60.164244, 'longitude': 24.93623}, 'roof': {'latitude': 60.164244, 'longitude': 24.93623}}",Levant
"[{'id': 10047, 'name': 'Public Art', 'short_name': 'Public Art', 'plural_name': 'Public Art', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",436,"{'main': {'latitude': 60.161015, 'longitude': 24.922442}}",Horisontti
"[{'id': 10028, 'name': 'Art Museum', 'short_name': 'Art Museum', 'plural_name': 'Art Museums', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_art_', 'suffix': '.png'}}]",24,"{'main': {'latitude': 60.163055, 'longitude': 24.946593}, 'roof': {'latitude': 60.163055, 'longitude': 24.946593}}",Design Museum (Designmuseo)
"[{'id': 13236, 'name': 'Italian Restaurant', 'short_name': 'Italian', 'plural_name': 'Italian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",36,"{'main': {'latitude': 60.162675, 'longitude': 24.946769}}",Ventuno Osteria & Caffé
"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",39,"{'drop_off': {'latitude': 60.163491, 'longitude': 24.94618}, 'main': {'latitude': 60.163514, 'longitude': 24.946373}, 'roof': {'latitude': 60.163514, 'longitude': 24.946373}}",BB Badger & co
"[{'id': 13194, 'name': 'Himalayan Restaurant', 'short_name': 'Himalayan', 'plural_name': 'Himalayan Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",72,"{'main': {'latitude': 60.163663, 'longitude': 24.945401}, 'roof': {'latitude': 60.163663, 'longitude': 24.945401}}",Ravintola Himalaya
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",84,"{'main': {'latitude': 60.163835, 'longitude': 24.946341}}",Ego
"[{'id': 10027, 'name': 'Museum', 'short_name': 'Museum', 'plural_name': 'Museums', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}}]",99,"{'main': {'latitude': 60.163128, 'longitude': 24.947748}, 'roof': {'latitude': 60.163079, 'longitude': 24.947805}}",Museum of Finnish Architecture (Suomen arkkitehtuurimuseo)
"[{'id': 13336, 'name': 'Scandinavian Restaurant', 'short_name': 'Scandinavian', 'plural_name': 'Scandinavian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/scandinavian_', 'suffix': '.png'}}]",113,"{'main': {'latitude': 60.164097, 'longitude': 24.946454}, 'roof': {'latitude': 60.164097, 'longitude': 24.946454}}",Ravintola Vinkkeli
"[{'id': 10039, 'name': 'Music Venue', 'short_name': 'Music Venue', 'plural_name': 'Music Venues', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",135,"{'main': {'latitude': 60.164034, 'longitude': 24.944612}, 'roof': {'latitude': 60.164034, 'longitude': 24.944612}}",G Livelab
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",145,"{'main': {'latitude': 60.164261, 'longitude': 24.944541}}",Luovuus kukkii kaaoksesta
"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13377, 'name': 'Vegan and Vegetarian Restaurant', 'short_name': 'Vegan and Vegetarian Restaurant', 'plural_name': 'Vegan and Vegetarian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vegetarian_', 'suffix': '.png'}}]",162,"{'drop_off': {'latitude': 60.164055, 'longitude': 24.943791}, 'main': {'latitude': 60.16419, 'longitude': 24.943745}, 'roof': {'latitude': 60.16419, 'longitude': 24.943745}}",Yes Yes Yes
"[{'id': 13148, 'name': 'French Restaurant', 'short_name': 'French', 'plural_name': 'French Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",164,"{'main': {'latitude': 60.164127, 'longitude': 24.947772}, 'roof': {'latitude': 60.164127, 'longitude': 24.947772}}",Ravintola Pastis
"[{'id': 13018, 'name': 'Pub', 'short_name': 'Pub', 'plural_name': 'Pubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",173,"{'drop_off': {'latitude': 60.164055, 'longitude': 24.943791}, 'main': {'latitude': 60.16419, 'longitude': 24.943745}, 'roof': {'latitude': 60.16419, 'longitude': 24.943745}}",Black Door
"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",174,"{'main': {'latitude': 60.164053, 'longitude': 24.943235}, 'roof': {'latitude': 60.164053, 'longitude': 24.943235}}",The Riff
"[{'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13305, 'name': 'Burrito Restaurant', 'short_name': 'Burritos', 'plural_name': 'Burrito Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burrito_', 'suffix': '.png'}}]",185,"{'drop_off': {'latitude': 60.16378, 'longitude': 24.942984}, 'main': {'latitude': 60.163929, 'longitude': 24.942934}, 'roof': {'latitude': 60.163929, 'longitude': 24.942934}}",Tortilla House Roba
"[{'id': 16032, 'name': 'Park', 'short_name': 'Park', 'plural_name': 'Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",187,"{'main': {'latitude': 60.161725, 'longitude': 24.943809}}",Johanneksenpuisto
"[{'id': 16037, 'name': 'Playground', 'short_name': 'Playground', 'plural_name': 'Playgrounds', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/playground_', 'suffix': '.png'}}]",190,"{'main': {'latitude': 60.160307, 'longitude': 24.944632}, 'roof': {'latitude': 60.160307, 'longitude': 24.944632}}",Johanneksenkirkon hiekkalaatikko
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 13009, 'name': 'Cocktail Bar', 'short_name': 'Cocktail', 'plural_name': 'Cocktail Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",201,"{'main': {'latitude': 60.164799, 'longitude': 24.944245}, 'roof': {'latitude': 60.164799, 'longitude': 24.944245}}",Liberty or Death
"[{'id': 13006, 'name': 'Beer Bar', 'short_name': 'Beer Bar', 'plural_name': 'Beer Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",251,"{'drop_off': {'latitude': 60.163242, 'longitude': 24.941412}, 'main': {'latitude': 60.163358, 'longitude': 24.941371}, 'roof': {'latitude': 60.163358, 'longitude': 24.941371}}",Tommyknocker Craft Beer Bar
"[{'id': 13276, 'name': 'Sushi Restaurant', 'short_name': 'Sushi', 'plural_name': 'Sushi Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",270,"{'main': {'latitude': 60.163564, 'longitude': 24.94124}}",Haru
"[{'id': 13298, 'name': 'Lebanese Restaurant', 'short_name': 'Lebanese', 'plural_name': 'Lebanese Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",288,"{'drop_off': {'latitude': 60.164453, 'longitude': 24.949821}, 'main': {'latitude': 60.164486, 'longitude': 24.950156}, 'roof': {'latitude': 60.164486, 'longitude': 24.950156}}",Farouge
"[{'id': 13347, 'name': 'Tapas Restaurant', 'short_name': 'Tapas', 'plural_name': 'Tapas Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/tapas_', 'suffix': '.png'}}]",297,"{'main': {'latitude': 60.165211, 'longitude': 24.942298}}",La Tapería
"[{'id': 13006, 'name': 'Beer Bar', 'short_name': 'Beer Bar', 'plural_name': 'Beer Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",298,"{'main': {'latitude': 60.165687, 'longitude': 24.94418}, 'roof': {'latitude': 60.165687, 'longitude': 24.94418}}",Bier-Bier
"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",300,"{'main': {'latitude': 60.16277, 'longitude': 24.940647}}",Daddy Greens Pizzabar
"[{'id': 16041, 'name': 'Plaza', 'short_name': 'Plaza', 'plural_name': 'Plazas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_', 'suffix': '.png'}}]",300,"{'main': {'latitude': 60.165427, 'longitude': 24.949238}}",Kasarmitori
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",308,"{'main': {'latitude': 60.165641, 'longitude': 24.947623}, 'roof': {'latitude': 60.165641, 'longitude': 24.947623}}",Ravintola Kaarle XII
"[{'id': 13039, 'name': 'Deli', 'short_name': 'Deli', 'plural_name': 'Delis', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'short_name': 'French', 'plural_name': 'French Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}, {'id': 13336, 'name': 'Scandinavian Restaurant', 'short_name': 'Scandinavian', 'plural_name': 'Scandinavian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/scandinavian_', 'suffix': '.png'}}]",313,"{'main': {'latitude': 60.16496, 'longitude': 24.941792}, 'roof': {'latitude': 60.16496, 'longitude': 24.941792}}",Demo
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",314,"{'main': {'latitude': 60.165893, 'longitude': 24.944946}, 'roof': {'latitude': 60.165893, 'longitude': 24.944946}}",Ravintola Ragu
